deutscher Name;wissenschaftlicher Name;Kategorie;;
Aztekenmöwe;Leucophaeus atricilla;A;;
Präriemöwe;Leucophaeus pipixcan;A;;
Korallenmöwe;Ichthyaetus audouinii;A;;
Schwarzkopfmöwe;Ichthyaetus melanocephalus;A;;
Fischmöwe;Ichthyaetus ichthyaetus;A;;
Sturmmöwe;Larus canus;A;;
Ringschnabelmöwe;Larus delawarensis;A;;
Mantelmöwe;Larus marinus;A;;
Eismöwe;Larus hyperboreus;A;;
Polarmöwe;Larus glaucoides;A;;
Silbermöwe;Larus argentatus;A;;
Kanadamöwe;Larus smithsonianus;A;;
Steppenmöwe;Larus cachinnans;A;;
Mittelmeermöwe;Larus michahellis;A;;
Heringsmöwe;Larus fuscus;A;;
Lachseeschwalbe;Gelochelidon nilotica;A;;
Raubseeschwalbe;Hydroprogne caspia;A;;
Rüppellseeschwalbe;Thalasseus bengalensis;A;;
Brandseeschwalbe;Thalasseus sandvicensis;A;;
Schmuckseeschwalbe;Thalasseus elegans;A;;
Zwergseeschwalbe;Sternula albifrons;A;;
Zügelseeschwalbe;Onychoprion anaethetus;A;;
Rußseeschwalbe;Onychoprion fuscatus;A;;
Rosenseeschwalbe;Sterna dougallii;A;;
Flussseeschwalbe;Sterna hirundo;A;;
Küstenseeschwalbe;Sterna paradisaea;A;;
Weißbart-Seeschwalbe;Chlidonias hybrida;A;;
Weißflügel-Seeschwalbe;Chlidonias leucopterus;A;;
Trauerseeschwalbe;Chlidonias niger;A;;
Raubmöwen;Familie Stercorariidae;;;
Skua;Stercorarius skua;A;;
Spatelraubmöwe;Stercorarius pomarinus;A;;
Schmarotzerraubmöwe;Stercorarius parasiticus;A;;
Falkenraubmöwe;Stercorarius longicaudus;A;;
Alke;Familie Alcidae;;;
Krabbentaucher;Alle alle;A;;
Dickschnabellumme;Uria lomvia;A;;
Trottellumme;Uria aalge;A;;
Tordalk;Alca torda;A;;
Gryllteiste;Cepphus grylle;A;;
Papageitaucher;Fratercula arctica;A;;

SEETAUCHER;ORDNUNG GAVIIFORMES;;;
Seetaucher;Familie Gaviidae;;;
Sterntaucher;Gavia stellata;A;;
Prachttaucher;Gavia arctica;A;;
Eistaucher;Gavia immer;A;;
Gelbschnabeltaucher;Gavia adamsii;A;;

RÖHRENNASEN;ORDNUNG PROCELLARIIFORMES;;;
Sturmschwalben;Familie Oceanitidae;;;
Buntfuß-Sturmschwalbe;Oceanites oceanicus;A;;
Albatrosse;Familie Diomedeidae;;;
Schwarzbrauenalbatros;Thalassarche melanophris;A;;
Wellenläufer;Familie Hydrobatidae;;;
Sturmwellenläufer;Hydrobates pelagicus;A;;
Wellenläufer;Oceanodroma leucorhoa;A;;
Sturmvögel;Familie Procellariidae;;;
Eissturmvogel;Fulmarus glacialis;A;;
Sepiasturmtaucher;Calonectris diomedea;B;;
Corysturmtaucher;Calonectris borealis;A;;
Dunkelsturmtaucher;Ardenna grisea;A;;
Kappensturmtaucher;Ardenna gravis;A;;
Atlantiksturmtaucher;Puffinus puffinus;A;;
Balearensturmtaucher;Puffinus mauretanicus;A;;
Barolosturmtaucher;Puffinus baroli;A;;
Bulwersturmvogel;Bulweria bulwerii;A;;

STÖRCHE;ORDNUNG CICONIIFORMES;;;
Störche;Familie Ciconiidae;;;
Schwarzstorch;Ciconia nigra;A;;
Weißstorch;Ciconia ciconia;A;;

